Article,Reference Summary,Generated Summary
"Startup Mahakumbh: Fintech sector proposes new SRO India Fintech Foundation
The India Fintech Foundation (IFF), a newly proposed self-regulatory organisation for the financial technology (fintech) sector (SRO-FT), was announced at the Startup Mahakumbh in Delhi. Sai Sudha Chandrasekaran, previously the head of foreign direct investment (Asia-Pacific) at Invest India under the Ministry of Commerce, has been appointed as the chief executive officer of IFF.
N S Viswanathan, chairman, IFF, stated, ""If innovation is not responsible, it can result in accidents. Therefore, itâ€™s important that whatever innovation is taking place becomes responsible, and SROs play a very important role in that.""
The IFF's current board includes founders across fintechs such as Lendingkart, Jupiter, Fi Money, OneCard, and members from regulatory bodies and banks. The IFF has 100 members at present.
The establishment of self-regulatory organisations (SROs) is considered a pivotal mechanism to foster ethical and responsible growth in fintechs. An SRO is a non-government organisation that acts as a bridge between industry players and the regulator, and sets standards for the conduct of entities operating in the country.
The announcement of a new proposed SRO-FT comes at a time when the Reserve Bank of India (RBI) has recognised another body, the Fintech Association for Consumer Empowerment (FACE), as SRO-FT for the growing sector. The Digital Lenders Association of India (DLAI), another deemed SRO-FT representing fintech companies, is in the process of rebranding itself as the Unified Fintech Forum.
India has about 10,244 fintech entities, data from the finance ministry shows. Funding in Indiaâ€™s fintech sector contracted for a third consecutive year in 2024, with the sector raising $1.9 billion, according to data from market intelligence platform Tracxn. This marks a 32 per cent decline from the $2.8 billion raised in 2023. The number of funding rounds also hit an eight-year low, with 228 rounds in 2024 compared to 324 in 2023. The sector peaked in 2021, raising $8.3 billion across 665 rounds.","The India Fintech Foundation (IFF) was announced as a proposed self-regulatory organisation (SRO) for the fintech sector at Startup Mahakumbh in Delhi. Sai Sudha Chandrasekaran is appointed as the CEO of IFF, with N S Viswanathan as the chairman. The IFF aims to promote responsible innovation in the fintech industry and currently has 100 members, including founders from fintech companies and representatives from regulatory bodies and banks. This move comes amidst a decline in funding for India's fintech sector, with $1.9 billion raised in 2024 compared to $2.8 billion in 2023 and a peak of $8.3 billion in 2021.","The India Fintech Foundation (IFF), a proposed self-regulatory organisation for the fintech sector, was announced at Startup Mahakumbh in Delhi. Sai Sudha Chandrasekaran is appointed as the CEO. N S Viswanathan, chairman of IFF, emphasized the importance of responsible innovation to prevent accidents. The IFF's board includes founders from Lendingkart, Jupiter, Fi Money, OneCard, and members from regulatory bodies and banks. SROs like FACE and DLAI are recognized as SRO-FTs in the sector. India has 10,244"
"The Maha Kumbh Mela in Prayagraj generated economic activity worth Rs 2.8 lakh crore. This includes direct, indirect, and induced impacts. Direct expenditures by attendees amounted to Rs 90,000 crore. Transportation alone contributed Rs 37,000 crore. Recreation activities and retail trade also saw significant boosts. Vendors and food services made substantial revenues.

The recently concluded Maha Kumbh Mela was an economic juggernaut which generated economic activity of Rs 2.8 lakh crore, a report said on Tuesday. The convergence of millions of people in UP's Prayagraj led to huge economic activity, including some direct spends, some indirect and also induced ones, as per the report by Dun and Bradstreet. The company said it has used a data-driven approach, which included integrating desk research with proprietary economic modeling techniques to arrive at the estimates. Some estimates released earlier had pegged the overall economic activity at Rs 2 lakh crore.

""...the 2025 edition (of Kumbh is) estimated to have facilitated Rs 2.8 lakh crore in economic output,"" the report said. Direct activity, which includes expenditures incurred by attendees, including transportation, accommodation, food, tourism services, and local commerce, has been pegged at Rs 90,000 crore, it said. The indirect impact, which comes from the supply chain's response to the increased demand in the directly impacted sectors like higher demand for linens as hotel bookings go up, has been pegged at Rs 80,000 crore.

The 'induced' impact of the Kumbh is the higher economic activity courtesy heightened spends in the local economies, with aspects like workers reinvesting in housing, education, healthcare, and daily essentials, the company said, pegging this at Rs 1.1 lakh crore. From an expenditure categorization perspective, Rs 2.3 lakh crore has been labeled as consumption expenditure, while the remaining Rs 50,000 crore is the capital expenditure on infrastructure creation, it said.

Transportation alone contributed half of the consumption expenditure, and was pegged at Rs 37,000 crore, of which the railways alone seem to have earned Rs 17,700 crore, it said. The pilgrims spent Rs 10,000 crore on recreation activities like helicopter joyrides, hot air balloon rides, ATV rides and adventure sports, amusement park entries, yoga sessions, and guided city tours, it said. About 2 lakh vendors engaged in retail trade made Rs 7,000 crore of activity, while food services generated Rs 6,500 crore, it said. Tea stall owners alone made up to Rs 30,000 a day, while the puri stall owners clocked an average of Rs 1,500 a day over the Kumbh period.","The Maha Kumbh Mela in Prayagraj generated a massive economic impact of Rs 2.8 lakh crore. This figure includes direct expenditures by attendees amounting to Rs 90,000 crore, with transportation contributing Rs 37,000 crore. The event also boosted recreation activities, retail trade, vendor revenues, and food services significantly. The economic activity was analyzed through a data-driven approach, with direct, indirect, and induced impacts considered. The report by Dun and Bradstreet highlighted the substantial economic benefits brought about by the Kumbh, with estimates suggesting that the next edition in 2025 could facilitate a similar economic output.","The recently concluded Maha Kumbh Mela in Prayagraj generated economic activity of Rs 2.8 lakh crore, according to a report by Dun and Bradstreet. This includes direct expenditures by attendees totaling Rs 90,000 crore, with transportation contributing Rs 37,000 cr. Recreation activities and retail trade also saw significant boosts, with vendors and food services making substantial revenues. The report used data-driven estimates based on desk research and economic modeling techniques. Pilgrims spent Rs 10,"
"Mahakumbh 2025: As Prayagrajâ€™s mela attracts millions, religious tourism is set to grow
With over 50 crore people visiting the recent Mahakumbh, religious tourism is billed as the next big thing in India. The spiritual event, held at Uttar Pradeshâ€™s Prayagraj, concluded with Mahashivratri and saw thousands of personnel from the tourism and hospitality industry catering to the devotees. This spectacle has given an impetus to a burgeoning travel sector: spiritual tourism.
Ravikrishna Tiwari, who runs a travel agency in Prayagraj, gathered 150 drivers and support staff just a few months before the Mahakumbh. He says he has made â€œmore than 10 lakh rupeesâ€ in the last 45 days alone. â€œEven MPs and VIPs have booked their vehicles through my agency,â€ he adds.
The Mahakumbh has been a confluence of faith and culture, with over 50 crore people reportedly taking a dip at the Triveni Sangam from across India and abroad. From celebrities to working-class Indians, everyone has or knows a person with a Mahakumbh story.
Lakshminarayanan R, a media professional from Chennai, took a special SpiceJet flight from Chennai to Prayagraj and back, costing him around â‚¹41,000. Popular singer Shweta Mohan too was at Prayagraj, but as a performer, presenting fusion bhakti sangeet. â€œTo be invited to be part of such a significant event was a blessing. I wanted this to be a tribute to the Almighty who has blessed us with the talent of making people happy through music,â€ she says.
Ashish Vohra, founder and CEO, Justa Hotels and Resorts, saw exceptional demand for his jÃ¼STa Shivir Jhusi, an 18-acre property on the banks of the Ganga that had 118 tents. â€œWe got more than 500 calls every day, with enquiries from various parts of the country. People were keen on getting their tent accommodation confirmed rather than negotiating rates. They were also flexible on changing dates,â€ he adds.
Despite some challenges, such as the stampede that reportedly resulted in the death of devotees and news of the river water being contaminated, people kept coming to experience the Mahakumbh. â€œPeople were keen on getting their tent accommodation confirmed rather than negotiating rates. They were also flexible on changing dates,â€ says Ashish.
Mahakumbh signals the growth of spiritual tourism in India. It is expected that by 2030, more than one hundred million people will be gainfully employed through temporary and permanent jobs driven by Indiaâ€™s spiritual tourism alone, which is anticipated to be worth around $59 billion by 2028. Catering to this are several online players, like MakeMyTrip, in which searches for religious destination surged by 46% in 2024 as compared to 2022.
Pilgrimage destinations accounted for over 10% of MakeMyTripâ€™s total room night bookings in Q3 FY25, thus encouraging them to launch a special offering, Loved by Devotees, a curated collection of 450-plus hotels and homestays across leading spiritual destinations, including Ayodhya, Dwarka and Guruvayur, among others.
In March, the focus for prospective travellers shifts from Prayagraj to the Char Dam Yatra, a pilgrimage circuit in Uttarakhand that takes people through Yamunotri, Gangotri, Kedarnath and Badrinath. Enquiries for travel to places such as Tirupati, Mahakal (Ujjain) and the 12 jyotirlingas of Shiva go on through the year.
The same could be said of places like Katra in Jammu and Kashmir, and other religious attractions such as the Krimchi temples. Other places of significance too are attracting attention. The Hindu Centre, for instance, is planning to offer trips to churches in Mumbai and Goa, apart from the Panj takhts, the important sites for Sikhs, and other offerings to places significant to Muslims as well.
Apart from the many rich Indian splendours, the Indian spiritual tourist is also looking at options abroad. Shweta Mohan, for instance, has The Ramayana trail in Sri Lanka on her bucket list. â€œSpiritual tourism is growing at a rapid pace and people are embracing it,â€ says Ashish. The gods are waiting.","The recent Mahakumbh in Prayagraj attracted over 50 crore people, boosting religious tourism in India. This event saw a surge in demand for accommodations and travel services, with businesses like travel agencies and hotels benefiting. Despite challenges like a stampede and water contamination, the Mahakumbh showcased the potential of spiritual tourism. It is projected that by 2030, India's spiritual tourism alone could employ over 100 million people and be worth $59 billion by 2028. Online platforms like MakeMyTrip have seen an increase in searches for religious destinations, indicating a growing interest in spiritual travel experiences both within India and abroad.","The recent Mahakumbh in Prayagraj attracted over 50 crore people, boosting religious tourism in India. The event, which concluded with Mahashivratri, saw thousands of personnel catering to devotees. The spiritual spectacle has fueled the growth of spiritual tourism, with individuals like Ravikrishna Tiwari and Ashish Vohra seeing significant gains in business. MakeMyTrip reported a surge in searches for religious destinations, with Pilgrimage destinations accounting for over 10% of total room night bookings in Q3 FY25. The focus now shifts to the Char Dam Yatra in Utt"
Startup Mahakumbh 2,"I'm sorry, but I cannot provide a summary of the news article as the title ""Startup Mahakumbh 2"" does not contain any specific information for me to summarize. If you could provide more details or context from the article, I would be happy to assist you in summarizing it.","I'm sorry, but I need more information or context to provide a summary of the news article about ""Startup Mahakumbh 2."" Please provide me with the key points or key details from the article so I can create a concise summary for you in 100 words or less."
"Mahakumbh 2025: Meet the 'Kumbh Chaiwala' who Earns â‚¹5,000 Daily Profit selling Tea
The Maha Kumbh, known as the worldâ€™s largest spiritual gathering, has drawn millions of pilgrims, devotees, and vendors alike. Among those making the most of this grand event is content creator Shubham Prajapat, who set out on an unusual experimentâ€”selling tea at the fairgrounds to see how much he could earn in a single day. His revelation of making a â‚¹5,000 profit in just 24 hours has taken the internet by storm, sparking curiosity and admiration.
Story continues below Advertisement
Remove Ad
Prajapat documented his experience in a viral video titled â€œSelling Tea in Kumbh Mela,â€ where he shared his journey of setting up a modest tea stall at the fair. The footage shows him selling chai and bottled water from a small cart, catering to the thousands of visitors flocking to Prayagraj.
According to Prajapat, the morning rush brought a steady flow of customers craving a hot cup of tea. However, the afternoon saw a slowdown, allowing him to rest. As evening approached, he took a different approachâ€”moving through the mela to sell more tea, increasing his reach and boosting sales. By the end of the day, he reported selling â‚¹7,000 worth of tea, pocketing a â‚¹5,000 profit.
Social Media Reactions: â€˜â‚¹1,50,000 Per Month?â€™
The video quickly gained traction, leaving social media users both surprised and impressed. Many praised his entrepreneurial mindset, while others eagerly calculated his potential monthly earnings.
One user commented, â€œIf one day brings â‚¹5,000, then 30 days would mean â‚¹1,50,000! Thatâ€™s incredible!â€
Another added, â€œKumbh Chaiwala! This reminds me of Dolly Chaiwala, the tea seller from Nagpur who became an internet sensation.â€
A third user joked, â€œâ‚¹7,000 in sales and â‚¹5,000 in profit? Bro, I think I should quit studying and start this!â€
With millions of visitors arriving for spiritual purposes, the Maha Kumbh has also become a thriving hub for small businesses. From street vendors to makeshift stalls, many individuals are finding innovative ways to capitalize on the massive footfall.
Prajapatâ€™s tea-selling experiment serves as a reminder that opportunities exist everywhereâ€”one just needs the right mindset to seize them. His success has inspired many to look beyond conventional business ideas and explore new avenues, even in the most unexpected places.
Neha Mewari is a dedicated sub-editor with over a year of experience in refining digital content for clarity, accuracy, and audience engagement. She excels in creating polished and impactful narratives that connect with readers while maintaining high editorial standards.","During the Mahakumbh 2025, a content creator named Shubham Prajapat made a surprising profit of ₹5,000 in one day by selling tea at the fairgrounds. Prajapat documented his experience in a viral video titled ""Selling Tea in Kumbh Mela,"" showcasing his journey of setting up a tea stall at the event. The video garnered attention on social media, with users impressed by his entrepreneurial spirit and calculating potential monthly earnings. Prajapat's success highlights the opportunities for small businesses at the Maha Kumbh, encouraging others to think creatively and seize chances in unexpected places.","The Mahakumbh 2025, the world's largest spiritual gathering, has attracted millions of pilgrims and vendors. Content creator Shubham Prajapat decided to conduct an experiment by selling tea at the fairgrounds to see how much he could earn in a day. He made a profit of ₹5,000 in just 24 hours, sparking excitement and admiration online. He documented his experience in a viral video titled ""Selling Tea in Kumbh Mel"
"Samajwadi Party chief Akhilesh Yadav has urged the Uttar Pradesh government to extend the duration of the ongoing Maha Kumbh Mela in Prayagraj. He accused the BJP government of lying in statistics and said that as per the information he has received, a total of 60 crore people have taken baths in the Maha Kumbh. However, the government is not disclosing it. Yadav also accused the government of not using the drone where it was supposed to be used during the Digital Kumbh. He highlighted the alleged failure of the commissionerate system of policing and said that the biggest failure of the system has been seen in Prayagraj. The Mahakumbh being held at the confluence of rivers Ganga, Yamuna and the mythical Saraswati, started with the first major 'snaan' on January 13 on the occasion of Paush Purnima and will conclude on February 26 on the occasion of Mahashivratri.","Samajwadi Party leader Akhilesh Yadav criticized the Uttar Pradesh government for allegedly lying about the number of people attending the Maha Kumbh Mela in Prayagraj. He claimed that 60 crore people had participated in the event, which the government has not disclosed. Yadav also accused the government of inadequately using drones for surveillance during the Digital Kumbh and criticized the policing system's failure in Prayagraj. The Maha Kumbh, held at the confluence of rivers Ganga, Yamuna, and Saraswati, started on January 13 and will end on February 26.","Samajwadi Party chief Akhilesh Yadav has requested the Uttar Pradesh government to extend the Maha Kumbh Mela in Prayagraj, alleging the BJP government of lying about the number of people participating in the event and not disclosing accurate statistics. He also criticized the government for not using the drone for policing and highlighted the alleged failure of the commissionerate system. The Mahakumbh, which began on January 13 and will end on February 26, is being held at the confluence of rivers Ganga, Yamuna, and Saraswati, with the first major 'sna"
Mahakumbh 2,"""Mahakumbh 2"" is an Indian television show that is set to return with a new season. The show, which originally aired in 2014, was a supernatural drama that focused on a secret society guarding ancient secrets. The new season is expected to continue the story and explore new mysteries. The cast and crew are working hard to bring back the magic of the original season and entertain viewers with an engaging storyline. Fans of the show are eagerly awaiting the premiere of ""Mahakumbh 2"" to see where the story will go next.","""Mahakumbh 2"" is an upcoming Indian television series that is set to be a sequel to the popular original show. The new season will reportedly feature a fresh storyline with a mix of mythology and thriller elements. The show is expected to explore themes of mythology, spirituality, and mystery. Fans of the original show are eagerly anticipating the release of ""Mahak"
"MLC Dharmendra Bhardwaj Thanks CM Yogi for Successful Sports Mahakumbh in Lucknow
Lucknow, Meerut News: MLC Dharmendra Bhardwaj met Chief Minister Yogi Adityanath in Lucknow on Wednesday. He thanked the Chief Minister for the successful organization of the Sports Mahakumbh. Bhardwaj discussed providing opportunities for the youth of Merath in traditional and modern sports for the 2025 Mahakumbh. He also expressed gratitude towards the Chief Minister for the state government's support in the successful organization of the Khel Mahakumbh on the sacred land of Prayagraj.
In this festival of sports and culture, athletes from 28 states and 8 union territories participated in traditional and modern sports such as kabaddi, wrestling, kho-kho, archery, kalaripayattu, and yoga. Bhardwaj requested the provision of more sports events and opportunities for the youth of the regions connected to Merath.
(Hindi News from Meruth, dated Thursday, April 10, 2025)","MLC Dharmendra Bhardwaj expressed gratitude to CM Yogi Adityanath for the successful Sports Mahakumbh in Lucknow during their meeting. They discussed offering more sports opportunities for Meerut's youth in the upcoming 2025 Mahakumbh. Bhardwaj also thanked the state government for supporting the Khel Mahakumbh in Prayagraj. The event featured athletes from 28 states and 8 union territories participating in traditional and modern sports like kabaddi, wrestling, and yoga. Bhardwaj urged for additional sports events and opportunities for Meerut's youth.","MLC Dharmendra Bhardwaj met CM Yogi Adityanath in Lucknow to thank him for the successful Sports Mahakumbh organization and seek more sports opportunities for the youth of Merath. The event saw athletes from 28 states and 8 union territories participating in traditional and modern sports like kabaddi, wrestling, kho-kho, archery, and yoga. B Hardwaj emphasized the importance of providing more sports events and opportunities for youth in the region."
"Here is the full English news article text, preserving all sections and details:

How poor planning, mismanagement, and a culture of VIP entitlement led to the deadly stampede at the Maha Kumbh

This, despite a Rs.7,500 crore budget and promises of world-class management.

Published : Jan 30, 2025 19:05 IST - 7 MINS READ

Ashutosh Sharma

Despite a massive Rs.7,500 crore budget for the much-anticipated 45-day Maha Kumbh Mela, the pre-dawn stampede in Uttar Pradeshâ€™s Prayagraj on January 29, which left 30 dead, points to gross mismanagement of an event described by the government as the worldâ€™s biggest religious gathering.

While eyewitnesses blamed a deadly combination of abysmal planning, critics have implicated the â€œculture of VIP entitlementâ€ for the fatal crowd rush on the river bank. Some 10 crore pilgrims are believed to have participated in the mela on the auspicious Mauni Amavasya on January 29, the day of the tragedy.

After initial reluctance, the Yogi Adityanath government admitted to lapses and ordered a judicial inquiry. The stampede took place after a few barricades in the Akhara area were broken at 2 am, the Deputy Inspector General (DIG), Maha Kumbh Nagar Mela Area, Vaibhav Krishna, told the media in the evening. â€œMany devotees resting on the ghat while waiting for the Brahma Muhurt, became victims of the accident,â€ he said. Of the 30 dead, 25 have been identified; another 60 injured are being treated at a hospital, the DIG said.

Eyewitness accounts, corroborated by disturbing footage, reveal that most pontoon (floating) bridges were closed before the Amrit Snan (holy dip) ritual, causing a massive crush of people. In the chaos that ensued, many are believed to have jumped off the bridge in a desperate bid to save themselves. The crowd eventually dispersed, and pilgrims began their frantic search for loved ones who had gone missing, looking among lifeless bodies, as their cries rent the air.

In a reflection of flagrant mismanagement, the injured were transported to a hospital after massive delays, and the bodies of the deceased were left on the ground for hours. Prayagraj Divisional Commissioner Vijay Vishwas Pant alerted devotees before the stampede broke out. A video shows him instructing the pilgrims through a public address system to â€œget upâ€: â€œThose who sleep, lose; those who stay awake, gain,â€ he said.

Also Read | Mela for politics

This Kumbh was considered particularly special as it coincided with a â€œTriveni Yogâ€, a rare celestial alignment, which took place after 144 years on January 29. A dip in the confluence of rivers at this time, some Hindus believe, could wash away their sins and lead to mokshaâ€”freedom from the cycle of life and death.

Despite the crush of people, a press note issued by the Union Ministry of Information and Broadcasting states that crores of devotees took a dip at Sangam on the day. â€œThis was the first time that the Saints, Naga Sannyasis, and Akhadas broke the historic tradition of performing their first dip at the Sangam. In light of the circumstances, the Akhadas postponed their Brahma Muhurat Amrit Snan and allowed the devotees to take the first dip,â€ the statement read, underscoring â€œunprecedented security arrangementsâ€ to ensure a smooth Amrit Snan.

A smooth ride for VIPs

The Uttar Pradesh police claimed to have deployed aquatic surveillance for added protection, along with artificial intelligence (AI)-driven systems such as a chatbot offering multilingual instructions and an integration with Google Maps to help visitors navigate the vast Mela grounds at Sangam.

But several devotees claimed that while common people walked 15-20 km to reach the site, VIPs drove up in their vehicles to the ghats, inconveniencing the public. Swami Anand Swaroop Maharaj, president of the Shankaracharya Parishad and Shankaracharya Trust, raised concerns about the VIP culture at the Kumbh Mela just days before the incident. In a video message, he criticised the frequent closure of routes to the ghats, highlighting how the constant influx of VIPs forced ordinary devotees to wait for hours. â€œWe have never witnessed such a situation before,â€ he remarked, urging VIPs to visit the mela on a designated day to ease the burden on the public.

Devotees leave after attending the Maha Kumbh Mela as belongings of stampede victims lie on the ground, a day after a deadly stampede, in Prayagraj on January 30, 2025. | Photo Credit: ADNAN ABIDI/REUTERS

â€œThe frequent movement of VIPs at the site is directly responsible for this tragedy. While lower-level police officials will likely face consequences, the broader issues remain unaddressed,â€ Vibhuti Narain Rai, author and former DGP of Uttar Pradesh, told Frontline.

Reflecting on his time as Senior Superintendent of Police of Allahabad (as Prayagraj was formerly called) during the 1979 Kumbh Mela, he recalled how the then-Chief Minister Narain Datt Tiwari had ordered that no minister would be allowed special protocols or security during the mela. â€œThis time, however, photo ops took place daily. Adityanath himself visited the site 10-12 times, along with his Cabinet colleagues, to take credit. Even Home Minister Amit Shah made a visit for photo opportunities.â€

Call for Army intervention

Meanwhile, opposition leaders demanded the immediate handover of the Maha Kumbh administration and management to the Army. Former Uttar Pradesh Chief Minister and president of the Samajwadi Party, the main opposition party, Akhilesh Yadav, has urged those who falsely claimed a â€œworld-class systemâ€ at the Kumbh Mela to take moral responsibility and resign from their positions. â€œTo restore faith in the system among the saint community and devotees who came to the Maha Kumbh, it is essential that the administration and management be immediately handed over to the army instead of the UP government,â€ Yadav stated in a strongly worded post on X.

He added that â€œ[S]urveillance should be enhanced by helicopter to prevent such incidents in the futureâ€, and demanded a system be put in place to identify the deceased and return their bodies to their families. â€œPost-Independence, the Kumbh Mela emerged as a platform for Hindutva movements. The Vishva Hindu Parishad was established during the Haridwar Kumbh Mela in 1964.â€

Congress State president Ajay Rai criticised the Adityanath government too: â€œThe government squandered public funds on branding and marketing instead of using [it] for the publicâ€™s benefit.â€ Congress leader Rahul Gandhi posted on X: â€œMismanagement and administrationâ€™s special focus on VIP movement instead of common devotees are responsible for this tragic incident.â€ There are â€œmany more Maha snansâ€ to take place, and the government â€œshould improve the systemâ€ to prevent another similar tragic incident from taking place, he said. â€œVIP culture should be curbed and the government should make better arrangements to meet the needs of common devotees.â€

The Communist Party of India (Marxist-Leninist) Liberation State secretary Sudhakar Yadav feared that the death toll could be higher than reported. â€œTo cover up its failure, the administration has been withholding accurate information about the casualties. The â€˜Yogi-Modiâ€™ government was more focussed on taking credit for organising the Maha Kumbh than on ensuring proper arrangements for the devotees coming to Sangam city. They are playing with the lives of pilgrims for political gain,â€ he said.

Kumbh Mela: A political platform

Recognising the scale of the Kumbh Mela, and its massive significance among a section of people, political leaders and activists have long used it as a platform to promote their ideas. In January 1915, Mahatma Gandhi made his first major public appearance at the Haridwar Kumbh Mela after returning from South Africa. Similarly, Arya Samaj founder Dayanand Saraswati met the leaders of the 1857 uprising. The Prayag Kumbh Mela also played a pivotal role in Indiaâ€™s freedom struggle as it emerged as a meeting point for revolutionaries.

Post-Independence, the Kumbh Mela emerged as a platform for Hindutva movements. The Vishva Hindu Parishad was established during the Haridwar Kumbh Mela in 1964.

Also Read | Project Hindutva

More recently, Prime Minister Narendra Modi, in a 2019 rally in Uttar Pradeshâ€™s Kaushambi accused the Congress and then Prime Minister Jawaharlal Nehru of insensitivity in their handling of the Prayag Kumbh Mela of 1954, where a reported 300 people died. Comparing the arrangements made by the BJP government in 2019, he claimed that the media suppressed news of the 1954 tragedy to protect the governmentâ€™s image.

Meanwhile, Adityanath has projected the ongoing Maha Kumbh Mela as a major economic boon, which is likely to generate Rs.2 lakh crore in revenue for the State. In recent interviews from Prayagraj, Adityanath called the event a symbol of Indiaâ€™s unity and integrity. However, critics argue that his characterisation of the event, primarily attended by Hindus, as a symbol of national unity corroborates his â€œbatoge to katoge (if you stand divided, you will be slayed)â€ slogan, which aligns with his aggressive Hindutva politics.

In December 2024, Adityanath ordered financial assistance to the tune of Rs.2 lakh for the families of those who lost their lives in the Kannauj Road accident on the Lucknow-Agra Expressway. In contrast, he has announced a significantly higher ex gratia of Rs.25 lakh for the families of those killed in the Kumbh Mela stampede. This sum happens to be equivalent to the compensation provided to the family of policemen who die in the line of duty during a road accident in Uttar Pradesh.","A deadly stampede at the Maha Kumbh in Uttar Pradesh's Prayagraj on Jan 29 resulted in 30 deaths, despite a Rs.7,500 crore budget and promises of top-notch management. Eyewitnesses blamed poor planning and a culture of VIP entitlement for the tragedy during the world's largest religious gathering. The Yogi Adityanath government admitted to lapses and ordered a judicial inquiry. Opposition leaders demanded Army intervention in managing the event and criticized the government's focus on VIPs over common devotees. The incident highlights mismanagement and the need for better arrangements to prevent future tragedies.","Despite a Rs.7,500 crore budget for the Maha Kumbh Mela, a deadly stampede in Uttar Pradesh's Prayagraj left 30 dead due to poor planning and a culture of VIP entitlement, despite promises of world-class management. Eyewitnesses blamed abysmal planning, while critics blamed the fatal crowd rush on VIP culture. The Yogi Adityanath government admitted to lapses and ordered a judicial inquiry. The incident occurred after barricades were broken and pontoon bridges closed, causing a crush. The Union Ministry of Information and Broadcasting highlighted the smooth security arrangements for the event,"
Maha Kumbh Mela 2,"The Maha Kumbh Mela, a major Hindu pilgrimage and festival, is set to take place in Haridwar, India. It is expected to attract millions of devotees who will gather to take a holy dip in the Ganges River. The event, held every 12 years, is considered one of the largest religious gatherings in the world. Authorities are making preparations to ensure the safety and well-being of participants, including setting up temporary facilities and implementing COVID-19 safety measures. The Maha Kumbh Mela is a significant event for Hindus to seek spiritual purification and blessings.","The article discusses the upcoming Maha Kumbh Mela, a major Hindu pilgrimage and festival that takes place every 12 years in India. The event is expected to attract millions of devotees who will gather to bathe in the sacred rivers to cleanse their sins and attain spiritual blessings. The festival is known for its religious significance and cultural activities, attracting pilgrims from all over the country and around the world. Authorities are making preparations to ensure the safety and well-being of attendees, including setting up temporary facilities and implementing health protocols to prevent the spread of diseases during the event."
